Rk,Player,Age,Tm,Lg,Season
1,Bam Adebayo\adebaba01,22,MIA,NBA,2019-20
2,Giannis Antetokounmpo\antetgi01,25,MIL,NBA,2019-20
3,Devin Booker\bookede01,23,PHO,NBA,2019-20
4,Jimmy Butler\butleji01,30,MIA,NBA,2019-20
5,Anthony Davis\davisan02,26,LAL,NBA,2019-20
6,Luka Dončić\doncilu01,20,DAL,NBA,2019-20
7,Joel Embiid\embiijo01,25,PHI,NBA,2019-20
8,Rudy Gobert\goberru01,27,UTA,NBA,2019-20
9,James Harden\hardeja01,30,HOU,NBA,2019-20
10,Brandon Ingram\ingrabr01,22,NOP,NBA,2019-20
11,LeBron James\jamesle01,35,LAL,NBA,2019-20
12,Nikola Jokić\jokicni01,24,DEN,NBA,2019-20
13,Kawhi Leonard\leonaka01,28,LAC,NBA,2019-20
14,Damian Lillard\lillada01,29,POR,NBA,2019-20
15,Kyle Lowry\lowryky01,33,TOR,NBA,2019-20
16,Khris Middleton\middlkh01,28,MIL,NBA,2019-20
17,Donovan Mitchell\mitchdo01,23,UTA,NBA,2019-20
18,Chris Paul\paulch01,34,OKC,NBA,2019-20
19,Domantas Sabonis\sabondo01,23,IND,NBA,2019-20
20,Pascal Siakam\siakapa01,25,TOR,NBA,2019-20
21,Ben Simmons\simmobe01,23,PHI,NBA,2019-20
22,Jayson Tatum\tatumja01,21,BOS,NBA,2019-20
23,Kemba Walker\walkeke02,29,BOS,NBA,2019-20
24,Russell Westbrook\westbru01,31,HOU,NBA,2019-20
25,Trae Young\youngtr01,21,ATL,NBA,2019-20
26,LaMarcus Aldridge\aldrila01,33,SAS,NBA,2018-19
27,Giannis Antetokounmpo\antetgi01,24,MIL,NBA,2018-19
28,Bradley Beal\bealbr01,25,WAS,NBA,2018-19
29,Stephen Curry\curryst01,30,GSW,NBA,2018-19
30,Anthony Davis\davisan02,25,NOP,NBA,2018-19
31,Kevin Durant\duranke01,30,GSW,NBA,2018-19
32,Joel Embiid\embiijo01,24,PHI,NBA,2018-19
33,Paul George\georgpa01,28,OKC,NBA,2018-19
34,Blake Griffin\griffbl01,29,DET,NBA,2018-19
35,James Harden\hardeja01,29,HOU,NBA,2018-19
