,player_name,team_abbreviation,age,player_height,player_weight,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,allstar,was_allstar,previous_allstars,scaled_gp,western_conf
6226,Kirk Hinrich,ATL,30.0,193.04,86.18248,10.2,2.5,4.0,-9.5,0.011,0.09,0.171,0.5429999999999999,0.221,2010,0,0,0,0.8780487804878049,False
6227,Kwame Brown,CHA,29.0,210.82,122.46984,7.9,6.8,0.7,-7.3,0.102,0.228,0.151,0.55,0.041,2010,0,0,0,0.8048780487804879,False
6228,Kobe Bryant,LAL,32.0,198.12,92.98636,25.3,5.1,4.7,7.7,0.035,0.135,0.35,0.5479999999999999,0.258,2010,1,1,12,1.0,True
6230,Kris Humphries,NJN,26.0,205.74,106.59412,10.0,10.4,1.1,-5.3,0.125,0.322,0.173,0.555,0.069,2010,0,0,0,0.9024390243902439,False
6231,Kurt Thomas,CHI,38.0,205.74,104.32616,4.1,5.8,1.2,6.8,0.077,0.227,0.096,0.527,0.07400000000000001,2010,0,0,0,0.6341463414634146,False
6232,Keyon Dooling,MIL,31.0,190.5,88.45044,7.1,1.5,3.0,3.4,0.008,0.071,0.17600000000000002,0.509,0.226,2010,0,0,0,0.975609756097561,False
6233,Landry Fields,NYK,23.0,200.66,95.25431999999999,9.7,6.4,1.9,2.1,0.047,0.18600000000000005,0.135,0.598,0.087,2010,0,0,0,1.0,False
6234,Kyle Lowry,HOU,25.0,182.88,92.98636,13.5,4.1,6.7,5.0,0.04,0.099,0.18600000000000005,0.55,0.289,2010,0,0,0,0.9146341463414634,True
6237,LaMarcus Aldridge,POR,25.0,210.82,108.86208,21.8,8.8,2.1,4.1,0.103,0.171,0.258,0.5489999999999999,0.099,2010,0,0,0,0.9878048780487805,True
6238,Lamar Odom,LAL,31.0,208.28,104.32616,14.4,8.7,3.0,7.6,0.079,0.223,0.198,0.589,0.154,2010,0,0,0,1.0,True
6243,Kyle Korver,CHI,30.0,200.66,96.161504,8.3,1.8,1.5,8.6,0.009000000000000001,0.096,0.182,0.5720000000000001,0.121,2010,0,0,0,1.0,False
6244,Kevin Martin,HOU,28.0,200.66,83.91452,23.5,3.2,2.5,2.8,0.012,0.1,0.295,0.601,0.128,2010,0,0,0,0.975609756097561,True
6245,Josh Smith,ATL,25.0,205.74,108.86208,16.5,8.5,3.3,1.8,0.061,0.233,0.249,0.54,0.168,2010,0,0,0,0.9390243902439024,False
6246,Kevin Garnett,BOS,35.0,210.82,114.758776,14.9,8.9,2.4,13.1,0.049,0.277,0.221,0.575,0.127,2010,1,1,13,0.8658536585365854,False
6249,Jonny Flynn,MIN,22.0,182.88,83.91452,5.3,1.5,3.4,-9.4,0.014,0.08,0.19,0.444,0.284,2010,0,0,0,0.6463414634146342,True
6250,Jordan Crawford,WAS,22.0,193.04,88.45044,11.7,2.5,2.8,-10.3,0.032,0.085,0.264,0.456,0.197,2010,0,0,0,0.5121951219512195,False
6251,Jordan Farmar,NJN,24.0,187.96,81.64656,9.6,2.4,5.0,-7.0,0.015,0.101,0.212,0.504,0.341,2010,0,0,0,0.8902439024390244,False
6252,Jordan Hill,HOU,23.0,208.28,106.59412,5.6,4.3,0.4,-6.6,0.127,0.183,0.179,0.521,0.043,2010,0,0,0,0.8780487804878049,True
6253,Jose Calderon,TOR,29.0,190.5,95.25431999999999,9.8,3.0,8.9,-5.3,0.016,0.1,0.16699999999999998,0.522,0.412,2010,0,0,0,0.8292682926829268,False
6255,Kevin Love,MIN,22.0,208.28,117.93392,20.2,15.2,2.5,-6.0,0.136,0.336,0.227,0.593,0.116,2010,1,0,0,0.8902439024390244,True
6256,Josh Howard,WAS,31.0,200.66,95.25431999999999,8.4,4.1,1.3,-11.0,0.045,0.159,0.213,0.416,0.095,2010,0,0,1,0.21951219512195122,False
6258,Jrue Holiday,PHI,21.0,193.04,81.64656,14.0,4.0,6.5,2.8,0.027000000000000003,0.105,0.208,0.525,0.282,2010,0,0,0,1.0,False
6262,Kendrick Perkins,OKC,26.0,208.28,127.00576,6.0,8.0,0.9,6.9,0.101,0.253,0.134,0.5379999999999999,0.052000000000000005,2010,0,0,0,0.35365853658536583,False
6263,Kenyon Martin,DEN,33.0,205.74,108.86208,8.6,6.2,2.3,7.9,0.065,0.203,0.166,0.526,0.13,2010,0,0,1,0.5853658536585366,True
6264,Kevin Durant,OKC,22.0,205.74,104.32616,27.7,6.8,2.7,4.7,0.023,0.174,0.302,0.589,0.127,2010,1,1,1,0.9512195121951219,False
6265,Josh McRoberts,IND,24.0,208.28,108.86208,7.4,5.3,2.1,2.5,0.081,0.181,0.14800000000000002,0.608,0.14300000000000002,2010,0,0,0,0.8780487804878049,False
6266,LeBron James,MIA,26.0,203.2,113.398,26.7,7.5,7.0,10.5,0.033,0.184,0.312,0.594,0.343,2010,1,1,6,0.9634146341463414,False
6269,Mario Chalmers,MIA,25.0,187.96,86.18248,6.4,2.1,2.5,8.8,0.009000000000000001,0.094,0.15,0.5379999999999999,0.172,2010,0,0,0,0.8536585365853658,False
6272,Martell Webster,MIN,24.0,200.66,106.59412,9.8,3.2,1.2,-11.4,0.036000000000000004,0.123,0.179,0.575,0.079,2010,0,0,0,0.5609756097560976,True
6273,Marvin Williams,ATL,25.0,205.74,108.86208,10.4,4.8,1.4,-1.2,0.044,0.156,0.174,0.551,0.076,2010,0,0,0,0.7926829268292683,False
6274,Matt Barnes,LAL,31.0,200.66,102.511792,6.7,4.3,1.3,1.3,0.084,0.16399999999999998,0.166,0.569,0.112,2010,0,0,0,0.6463414634146342,True
6275,Matt Bonner,SAS,31.0,208.28,106.59412,7.3,3.6,0.9,8.6,0.051,0.14300000000000002,0.13699999999999998,0.617,0.063,2010,0,0,0,0.8048780487804879,True
6281,Metta World Peace,LAL,31.0,200.66,117.93392,8.5,3.3,2.1,8.9,0.048,0.078,0.151,0.485,0.103,2010,0,0,1,1.0,True
6282,Michael Beasley,MIN,22.0,208.28,106.59412,19.2,5.6,2.2,-5.6,0.054000000000000006,0.13699999999999998,0.284,0.51,0.118,2010,0,0,0,0.8902439024390244,True
6285,John Wall,WAS,20.0,193.04,88.45044,16.4,4.6,8.3,-9.0,0.014,0.127,0.236,0.494,0.35700000000000004,2010,0,0,0,0.8414634146341463,False
6286,Marcus Thornton,SAC,24.0,193.04,92.98636,12.8,3.5,1.8,-3.7,0.039,0.129,0.245,0.525,0.133,2010,0,0,0,0.8902439024390244,True
6288,Marcus Camby,POR,37.0,210.82,106.59412,4.7,10.3,2.1,2.4,0.136,0.355,0.118,0.426,0.114,2010,0,0,0,0.7195121951219512,True
6291,Linas Kleiza,TOR,26.0,203.2,111.13004,11.2,4.5,1.0,-4.9,0.042,0.163,0.214,0.502,0.06,2010,0,0,0,0.47560975609756095,False
6293,Lou Williams,PHI,24.0,185.42,79.3786,13.7,2.0,3.4,2.1,0.021,0.077,0.277,0.54,0.248,2010,0,0,0,0.9146341463414634,False
6294,Luc Mbah a Moute,MIL,24.0,203.2,104.32616,6.7,5.3,0.9,-0.6,0.09,0.145,0.132,0.518,0.054000000000000006,2010,0,0,0,0.9634146341463414,False
6295,Luis Scola,HOU,31.0,205.74,111.13004,18.3,8.2,2.5,3.0,0.07,0.217,0.255,0.5379999999999999,0.131,2010,0,0,0,0.9024390243902439,True
6298,Leandro Barbosa,TOR,28.0,190.5,91.625584,13.3,1.7,2.1,-5.5,0.012,0.073,0.254,0.539,0.147,2010,0,0,0,0.7073170731707317,False
6299,Luke Ridnour,MIN,30.0,187.96,79.3786,11.8,2.8,5.4,-5.9,0.019,0.083,0.177,0.5670000000000001,0.274,2010,0,0,0,0.8658536585365854,True
6300,Luol Deng,CHI,26.0,205.74,99.79024,17.4,5.8,2.8,8.3,0.043,0.126,0.208,0.5489999999999999,0.119,2010,0,0,0,1.0,False
6303,Manny Harris,CLE,21.0,195.58,83.91452,5.9,2.6,1.6,-12.6,0.042,0.13699999999999998,0.189,0.486,0.153,2010,0,0,0,0.6585365853658537,False
6304,Manu Ginobili,SAS,33.0,198.12,92.98636,17.4,3.7,4.9,11.5,0.021,0.117,0.256,0.581,0.249,2010,1,0,1,0.975609756097561,True
6305,Marc Gasol,MEM,26.0,215.9,120.20188,11.7,7.0,2.5,1.7,0.071,0.193,0.171,0.58,0.117,2010,0,0,0,0.9878048780487805,True
6306,Marcin Gortat,PHX,27.0,210.82,108.86208,10.2,7.9,0.9,1.4,0.085,0.27,0.175,0.594,0.057,2010,0,0,0,0.975609756097561,True
6307,Marco Belinelli,NOH,25.0,195.58,90.7184,10.5,1.9,1.2,1.5,0.011,0.086,0.199,0.56,0.077,2010,0,0,0,0.975609756097561,False
6309,John Salmons,MIL,31.0,198.12,93.893544,14.0,3.6,3.5,-1.5,0.012,0.112,0.209,0.51,0.179,2010,0,0,0,0.8902439024390244,False
6313,Grant Hill,PHX,38.0,203.2,102.0582,13.2,4.2,2.5,1.5,0.037000000000000005,0.122,0.201,0.563,0.126,2010,0,0,7,0.975609756097561,True
6314,Greg Monroe,DET,21.0,210.82,113.398,9.4,7.5,1.3,-4.1,0.131,0.204,0.154,0.575,0.075,2010,0,0,0,0.975609756097561,False
6316,Hakim Warrick,PHX,28.0,205.74,99.336648,8.4,3.7,0.9,-4.1,0.073,0.17600000000000002,0.209,0.581,0.081,2010,0,0,0,0.975609756097561,True
6321,Hedo Turkoglu,ORL,32.0,208.28,99.79024,10.8,4.4,4.2,6.4,0.021,0.14,0.168,0.555,0.207,2010,0,0,0,0.9878048780487805,False
6327,J.J. Barea,DAL,27.0,182.88,79.3786,9.5,2.0,3.9,5.9,0.021,0.08900000000000001,0.242,0.535,0.314,2010,0,0,0,0.9878048780487805,True
6328,JJ Hickson,CLE,22.0,205.74,109.76926399999999,13.8,8.7,1.1,-11.9,0.107,0.244,0.253,0.503,0.075,2010,0,0,0,0.975609756097561,False
6329,Goran Dragic,HOU,25.0,190.5,86.18248,7.5,2.0,2.9,-6.7,0.032,0.1,0.228,0.524,0.29100000000000004,2010,0,0,0,0.8536585365853658,True
6330,Glen Davis,BOS,25.0,205.74,131.088088,11.7,5.4,1.2,3.6,0.057,0.16699999999999998,0.212,0.499,0.069,2010,0,0,0,0.9512195121951219,False
6331,Gilbert Arenas,ORL,29.0,193.04,97.52228,10.8,2.7,3.9,-0.7,0.014,0.108,0.246,0.471,0.256,2010,0,0,3,0.8536585365853658,False
6332,Gerald Wallace,POR,28.0,200.66,99.79024,15.7,8.0,2.4,3.0,0.049,0.206,0.203,0.5479999999999999,0.108,2010,0,1,1,0.8658536585365854,True
6333,Mike Bibby,MIA,33.0,187.96,88.45044,8.6,2.4,3.3,3.3,0.009000000000000001,0.092,0.146,0.57,0.173,2010,0,0,0,0.975609756097561,False
6334,Eric Bledsoe,LAC,21.0,185.42,88.45044,6.7,2.8,3.6,-7.0,0.045,0.098,0.179,0.499,0.254,2010,0,0,0,0.9878048780487805,True
6335,Eric Gordon,LAC,22.0,190.5,97.52228,22.3,2.9,4.4,-1.7,0.025,0.064,0.262,0.5660000000000001,0.197,2010,0,0,0,0.6829268292682927,True
6338,Ersan Ilyasova,MIL,24.0,208.28,106.59412,9.5,6.1,0.9,1.1,0.078,0.211,0.189,0.516,0.064,2010,0,0,0,0.7317073170731707,False
6340,Evan Turner,PHI,22.0,200.66,92.98636,7.2,3.9,2.0,-0.2,0.027000000000000003,0.17,0.17,0.484,0.13699999999999998,2010,0,0,0,0.9512195121951219,False
6341,JJ Redick,ORL,27.0,193.04,86.18248,10.1,1.9,1.7,4.0,0.005,0.08,0.16699999999999998,0.589,0.11,2010,0,0,0,0.7195121951219512,False
6343,Francisco Garcia,SAC,29.0,200.66,88.45044,9.7,2.3,1.2,-5.6,0.019,0.093,0.172,0.551,0.079,2010,0,0,0,0.7073170731707317,True
6348,Gary Neal,SAS,26.0,193.04,95.25431999999999,9.8,2.5,1.2,3.8,0.015,0.121,0.208,0.578,0.094,2010,0,0,0,0.975609756097561,True
